Fauvette_orphee,Fauvette_des_jardins,Fauvette_a_tete_noire,Fauvette_babillarde,Fauvette_grisette,Fauvette_pitchou,Fauvette_passerinette,Fauvette_melanocephale,Hibou_petit_duc,Chouette_de_Tengmalm,Chouette_cheveche,Chouette_chevechette,Chouette_hulotte,Chouette_effraie,Bruant_fou,Bruant_ortolan,Bruant_zizi,Bruant_jaune,Bruant_proyer,station
0,2,2,1,1,0,0,0,0,2,0,1,2,0,2,0,0,2,0,S01
0,2,2,1,1,0,0,0,0,2,1,1,2,1,2,0,1,2,0,S02
0,2,2,2,1,0,0,0,0,2,1,1,3,1,2,0,1,2,0,S03
0,3,2,1,0,0,0,0,0,1,1,1,2,1,1,0,1,2,1,S04
0,3,2,1,2,0,0,0,0,1,1,1,2,1,1,1,1,2,1,S05
0,2,2,1,0,0,0,0,0,1,1,0,2,1,1,0,1,2,0,S06
0,2,3,1,1,0,0,0,0,2,2,1,3,2,1,1,1,2,1,S07
0,2,2,1,2,0,0,0,0,1,1,0,2,1,1,0,1,2,0,S08
0,3,2,2,1,0,0,0,1,2,1,0,2,1,2,2,1,2,0,S09
1,3,2,3,1,0,0,0,1,2,1,1,2,1,3,2,1,3,1,S10
0,3,2,2,1,0,0,0,0,1,0,0,1,0,1,1,1,3,0,S11
1,2,2,2,2,0,0,0,1,2,1,1,3,2,2,1,1,3,0,S12
0,2,2,1,1,0,0,0,0,0,1,0,2,1,1,2,1,3,1,S13
1,3,3,2,1,0,0,0,1,1,1,1,2,1,2,1,1,1,0,S14
1,2,2,1,2,0,0,0,1,1,0,1,1,1,3,2,2,3,1,S15
2,2,3,1,3,1,3,0,3,1,2,0,3,2,2,3,3,1,2,S16
1,3,2,0,1,0,0,0,1,1,1,0,3,1,2,2,1,3,1,S17
0,2,1,2,2,0,0,0,0,1,1,0,3,0,3,3,2,3,1,S18
0,3,2,2,2,0,0,0,0,2,2,0,3,1,3,3,2,3,1,S19
1,3,3,2,2,0,0,0,1,2,1,1,3,1,3,3,2,3,1,S20
0,2,2,2,2,0,0,0,0,2,1,1,2,0,2,2,1,2,0,S21
2,2,3,0,3,2,3,2,3,0,2,0,3,2,2,3,3,1,2,S22
1,3,3,1,3,0,2,0,2,1,2,0,3,2,3,3,2,1,3,S23
